vehicle,brand,model,category,sales,year,month,source
Nissan Leaf,Nissan,Leaf,bev,2347,2014,6,hybridcars.com
Porsche Panamera S-E,Porsche,Panamera S-E,phev,111,2014,6,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,278,2014,6,hybridcars.com
Tesla Model S,Tesla,Model S,bev,1400,2014,6,hybridcars.com
Toyota Prius,Toyota,Prius,phev,1571,2014,6,hybridcars.com
Toyota RAV4,Toyota,RAV4,bev,91,2014,6,hybridcars.com
BMW i3,BMW,i3,bev,363,2014,7,hybridcars.com
Cadillac ELR,Cadillac,ELR,phev,188,2014,7,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,128,2014,7,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,2020,2014,7,hybridcars.com
Fiat 500e,Fiat,500e,bev,119,2014,7,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,831,2014,7,hybridcars.com
Ford Focus,Ford,Focus,bev,198,2014,7,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,1226,2014,7,hybridcars.com
Honda Accord Plug In,Honda,Accord Plug In,phev,41,2014,7,hybridcars.com
Honda Fit,Honda,Fit,bev,42,2014,7,hybridcars.com
Mercedes B-Class Electric,Mercedes,B-Class Electric,bev,41,2014,7,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,17,2014,7,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,3019,2014,7,hybridcars.com
Porsche Panamera S-E,Porsche,Panamera S-E,phev,63,2014,7,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,298,2014,7,hybridcars.com
Tesla Model S,Tesla,Model S,bev,1400,2014,7,hybridcars.com
Toyota Prius,Toyota,Prius,phev,1371,2014,7,hybridcars.com
Toyota RAV4,Toyota,RAV4,bev,68,2014,7,hybridcars.com
BMW i3,BMW,i3,bev,1025,2014,8,hybridcars.com
BMW i8,BMW,i8,phev,9,2014,8,hybridcars.com
Cadillac ELR,Cadillac,ELR,phev,196,2014,8,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,80,2014,8,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,2511,2014,8,hybridcars.com
Fiat 500e,Fiat,500e,bev,166,2014,8,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,1050,2014,8,hybridcars.com
Ford Focus,Ford,Focus,bev,264,2014,8,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,1222,2014,8,hybridcars.com
Honda Accord Plug In,Honda,Accord Plug In,phev,46,2014,8,hybridcars.com
Honda Fit,Honda,Fit,bev,55,2014,8,hybridcars.com
Mercedes B-Class Electric,Mercedes,B-Class Electric,bev,51,2014,8,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,20,2014,8,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,3186,2014,8,hybridcars.com
Porsche Panamera S-E,Porsche,Panamera S-E,phev,68,2014,8,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,208,2014,8,hybridcars.com
Tesla Model S,Tesla,Model S,bev,1200,2014,8,hybridcars.com
Toyota Prius,Toyota,Prius,phev,818,2014,8,hybridcars.com
Toyota RAV4,Toyota,RAV4,bev,228,2014,8,hybridcars.com
BMW i3,BMW,i3,bev,1022,2014,9,hybridcars.com
BMW i8,BMW,i8,phev,58,2014,9,hybridcars.com
Cadillac ELR,Cadillac,ELR,phev,111,2014,9,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,51,2014,9,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1394,2014,9,hybridcars.com
Fiat 500e,Fiat,500e,bev,137,2014,9,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,677,2014,9,hybridcars.com
Ford Focus,Ford,Focus,bev,176,2014,9,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,640,2014,9,hybridcars.com
Honda Accord Plug In,Honda,Accord Plug In,phev,42,2014,9,hybridcars.com
Honda Fit,Honda,Fit,bev,29,2014,9,hybridcars.com
Mercedes B-Class Electric,Mercedes,B-Class Electric,bev,65,2014,9,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,15,2014,9,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,2881,2014,9,hybridcars.com
Porsche Panamera S-E,Porsche,Panamera S-E,phev,82,2014,9,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,182,2014,9,hybridcars.com
Tesla Model S,Tesla,Model S,bev,1300,2014,9,hybridcars.com
Toyota Prius,Toyota,Prius,phev,353,2014,9,hybridcars.com
Toyota RAV4,Toyota,RAV4,bev,125,2014,9,hybridcars.com
BMW i3,BMW,i3,bev,1159,2014,10,hybridcars.com
BMW i8,BMW,i8,phev,204,2014,10,hybridcars.com
Cadillac ELR,Cadillac,ELR,phev,152,2014,10,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,58,2014,10,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1439,2014,10,hybridcars.com
Fiat 500e,Fiat,500e,bev,140,2014,10,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,644,2014,10,hybridcars.com
Ford Focus,Ford,Focus,bev,186,2014,10,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,686,2014,10,hybridcars.com
Honda Accord Plug In,Honda,Accord Plug In,phev,34,2014,10,hybridcars.com
Honda Fit,Honda,Fit,bev,23,2014,10,hybridcars.com
Mercedes B-Class Electric,Mercedes,B-Class Electric,bev,98,2014,10,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,17,2014,10,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,2589,2014,10,hybridcars.com
Porsche Panamera S-E,Porsche,Panamera S-E,phev,97,2014,10,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,150,2014,10,hybridcars.com
Tesla Model S,Tesla,Model S,bev,1300,2014,10,hybridcars.com
Toyota Prius,Toyota,Prius,phev,479,2014,10,hybridcars.com
Toyota RAV4,Toyota,RAV4,bev,97,2014,10,hybridcars.com
Volkswagen e-Golf,Volkswagen,e-Golf,bev,1,2014,10,hybridcars.com
BMW i3,BMW,i3,bev,816,2014,11,hybridcars.com
BMW i8,BMW,i8,phev,126,2014,11,hybridcars.com
Cadillac ELR,Cadillac,ELR,phev,155,2014,11,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,61,2014,11,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1336,2014,11,hybridcars.com
Fiat 500e,Fiat,500e,bev,100,2014,11,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,644,2014,11,hybridcars.com
Ford Focus,Ford,Focus,bev,191,2014,11,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,752,2014,11,hybridcars.com
Honda Accord Plug In,Honda,Accord Plug In,phev,43,2014,11,hybridcars.com
Honda Fit,Honda,Fit,bev,5,2014,11,hybridcars.com
Kia Soul,Kia,Soul,bev,140,2014,11,hybridcars.com
Mercedes B-Class Electric,Mercedes,B-Class Electric,bev,193,2014,11,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,18,2014,11,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,2687,2014,11,hybridcars.com
Porsche Cayenne S-E,Porsche,Cayenne S-E,phev,45,2014,11,hybridcars.com
Porsche Panamera S-E,Porsche,Panamera S-E,phev,57,2014,11,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,313,2014,11,hybridcars.com
Tesla Model S,Tesla,Model S,bev,1450,2014,11,hybridcars.com
Toyota Prius,Toyota,Prius,phev,451,2014,11,hybridcars.com
Toyota RAV4,Toyota,RAV4,bev,83,2014,11,hybridcars.com
Volkswagen e-Golf,Volkswagen,e-Golf,bev,119,2014,11,hybridcars.com
BMW i3,BMW,i3,bev,1013,2014,12,hybridcars.com
BMW i8,BMW,i8,phev,158,2014,12,hybridcars.com
Cadillac ELR,Cadillac,ELR,phev,118,2014,12,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,131,2014,12,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1490,2014,12,hybridcars.com
Fiat 500e,Fiat,500e,bev,115,2014,12,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,659,2014,12,hybridcars.com
Ford Focus,Ford,Focus,bev,53,2014,12,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,789,2014,12,hybridcars.com
Honda Accord Plug In,Honda,Accord Plug In,phev,63,2014,12,hybridcars.com
Honda Fit,Honda,Fit,bev,32,2014,12,hybridcars.com
Kia Soul,Kia,Soul,bev,110,2014,12,hybridcars.com
Mercedes B-Class Electric,Mercedes,B-Class Electric,bev,326,2014,12,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,12,2014,12,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,3102,2014,12,hybridcars.com
Porsche Cayenne S-E,Porsche,Cayenne S-E,phev,67,2014,12,hybridcars.com
Porsche Panamera S-E,Porsche,Panamera S-E,phev,31,2014,12,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,351,2014,12,hybridcars.com
Tesla Model S,Tesla,Model S,bev,1900,2014,12,hybridcars.com
Toyota Prius,Toyota,Prius,phev,492,2014,12,hybridcars.com
Toyota RAV4,Toyota,RAV4,bev,37,2014,12,hybridcars.com
Volkswagen e-Golf,Volkswagen,e-Golf,bev,237,2014,12,hybridcars.com
BMW i3,BMW,i3,bev,670,2015,1,hybridcars.com
BMW i8,BMW,i8,phev,85,2015,1,hybridcars.com
Cadillac ELR,Cadillac,ELR,phev,92,2015,1,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,86,2015,1,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,542,2015,1,hybridcars.com
Fiat 500e,Fiat,500e,bev,119,2015,1,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,395,2015,1,hybridcars.com
Ford Focus,Ford,Focus,bev,85,2015,1,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,426,2015,1,hybridcars.com
Honda Accord Plug In,Honda,Accord Plug In,phev,28,2015,1,hybridcars.com
Kia Soul,Kia,Soul,bev,69,2015,1,hybridcars.com
Mercedes B-Class Electric,Mercedes,B-Class Electric,bev,240,2015,1,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,3,2015,1,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,1070,2015,1,hybridcars.com
Porsche Cayenne S-E,Porsche,Cayenne S-E,phev,83,2015,1,hybridcars.com
Porsche Panamera S-E,Porsche,Panamera S-E,phev,61,2015,1,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,147,2015,1,hybridcars.com
Tesla Model S,Tesla,Model S,bev,1300,2015,1,hybridcars.com
Toyota Prius,Toyota,Prius,phev,401,2015,1,hybridcars.com
Toyota RAV4,Toyota,RAV4,bev,7,2015,1,hybridcars.com
Volkswagen e-Golf,Volkswagen,e-Golf,bev,181,2015,1,hybridcars.com
BMW i3,BMW,i3,bev,1089,2015,2,hybridcars.com
BMW i8,BMW,i8,phev,113,2015,2,hybridcars.com
Cadillac ELR,Cadillac,ELR,phev,127,2015,2,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,119,2015,2,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,693,2015,2,hybridcars.com
Fiat 500e,Fiat,500e,bev,117,2015,2,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,498,2015,2,hybridcars.com
Ford Focus,Ford,Focus,bev,145,2015,2,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,603,2015,2,hybridcars.com
Honda Accord Plug In,Honda,Accord Plug In,phev,12,2015,2,hybridcars.com
Kia Soul,Kia,Soul,bev,48,2015,2,hybridcars.com
Mercedes B-Class Electric,Mercedes,B-Class Electric,bev,109,2015,2,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,2,2015,2,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,1198,2015,2,hybridcars.com
Porsche Cayenne S-E,Porsche,Cayenne S-E,phev,106,2015,2,hybridcars.com
Porsche Panamera S-E,Porsche,Panamera S-E,phev,40,2015,2,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,76,2015,2,hybridcars.com
Tesla Model S,Tesla,Model S,bev,1400,2015,2,hybridcars.com
Toyota Prius,Toyota,Prius,phev,397,2015,2,hybridcars.com
Toyota RAV4,Toyota,RAV4,bev,2,2015,2,hybridcars.com
Volkswagen e-Golf,Volkswagen,e-Golf,bev,130,2015,2,hybridcars.com
BMW i3,BMW,i3,bev,922,2015,3,hybridcars.com
BMW i8,BMW,i8,phev,143,2015,3,hybridcars.com
Cadillac ELR,Cadillac,ELR,phev,92,2015,3,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,151,2015,3,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,639,2015,3,hybridcars.com
Fiat 500e,Fiat,500e,bev,164,2015,3,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,715,2015,3,hybridcars.com
Ford Focus,Ford,Focus,bev,140,2015,3,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,837,2015,3,hybridcars.com
Honda Accord Plug In,Honda,Accord Plug In,phev,5,2015,3,hybridcars.com
Honda Fit,Honda,Fit,bev,1,2015,3,hybridcars.com
Kia Soul,Kia,Soul,bev,63,2015,3,hybridcars.com
Mercedes B-Class Electric,Mercedes,B-Class Electric,bev,145,2015,3,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,10,2015,3,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,1817,2015,3,hybridcars.com
Porsche Cayenne S-E,Porsche,Cayenne S-E,phev,72,2015,3,hybridcars.com
Porsche Panamera S-E,Porsche,Panamera S-E,phev,44,2015,3,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,103,2015,3,hybridcars.com
Tesla Model S,Tesla,Model S,bev,2000,2015,3,hybridcars.com
Toyota Prius,Toyota,Prius,phev,473,2015,3,hybridcars.com
Toyota RAV4,Toyota,RAV4,bev,4,2015,3,hybridcars.com
Volkswagen e-Golf,Volkswagen,e-Golf,bev,195,2015,3,hybridcars.com
BMW i3,BMW,i3,bev,406,2015,4,hybridcars.com
BMW i8,BMW,i8,phev,138,2015,4,hybridcars.com
Cadillac ELR,Cadillac,ELR,phev,104,2015,4,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,920,2015,4,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,905,2015,4,hybridcars.com
Fiat 500e,Fiat,500e,bev,450,2015,4,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,553,2015,4,hybridcars.com
Ford Focus,Ford,Focus,bev,124,2015,4,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,711,2015,4,hybridcars.com
Honda Accord Plug In,Honda,Accord Plug In,phev,5,2015,4,hybridcars.com
Kia Soul,Kia,Soul,bev,73,2015,4,hybridcars.com
Mercedes B-Class Electric,Mercedes,B-Class Electric,bev,158,2015,4,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,16,2015,4,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,1553,2015,4,hybridcars.com
Porsche Cayenne S-E,Porsche,Cayenne S-E,phev,88,2015,4,hybridcars.com
Porsche Panamera S-E,Porsche,Panamera S-E,phev,30,2015,4,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,124,2015,4,hybridcars.com
Tesla Model S,Tesla,Model S,bev,1900,2015,4,hybridcars.com
Toyota Prius,Toyota,Prius,phev,428,2015,4,hybridcars.com
Toyota RAV4,Toyota,RAV4,bev,4,2015,4,hybridcars.com
Volkswagen e-Golf,Volkswagen,e-Golf,bev,309,2015,4,hybridcars.com
BMW i3,BMW,i3,bev,818,2015,5,hybridcars.com
BMW i8,BMW,i8,phev,117,2015,5,hybridcars.com
Cadillac ELR,Cadillac,ELR,phev,116,2015,5,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,283,2015,5,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1618,2015,5,hybridcars.com
Fiat 500e,Fiat,500e,bev,471,2015,5,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,715,2015,5,hybridcars.com
Ford Focus,Ford,Focus,bev,165,2015,5,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,986,2015,5,hybridcars.com
Honda Accord Plug In,Honda,Accord Plug In,phev,5,2015,5,hybridcars.com
Kia Soul,Kia,Soul,bev,108,2015,5,hybridcars.com
Mercedes B-Class Electric,Mercedes,B-Class Electric,bev,278,2015,5,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,18,2015,5,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,2104,2015,5,hybridcars.com
Porsche Cayenne S-E,Porsche,Cayenne S-E,phev,111,2015,5,hybridcars.com
Porsche Panamera S-E,Porsche,Panamera S-E,phev,21,2015,5,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,102,2015,5,hybridcars.com
Tesla Model S,Tesla,Model S,bev,2300,2015,5,hybridcars.com
Toyota Prius,Toyota,Prius,phev,727,2015,5,hybridcars.com
Volkswagen e-Golf,Volkswagen,e-Golf,bev,410,2015,5,hybridcars.com
BMW i3,BMW,i3,bev,551,2015,6,hybridcars.com
BMW i8,BMW,i8,phev,137,2015,6,hybridcars.com
Cadillac ELR,Cadillac,ELR,phev,62,2015,6,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,226,2015,6,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1225,2015,6,hybridcars.com
Fiat 500e,Fiat,500e,bev,411,2015,6,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,667,2015,6,hybridcars.com
Ford Focus,Ford,Focus,bev,152,2015,6,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,727,2015,6,hybridcars.com
Honda Accord Plug In,Honda,Accord Plug In,phev,4,2015,6,hybridcars.com
Kia Soul,Kia,Soul,bev,109,2015,6,hybridcars.com
Mercedes B-Class Electric,Mercedes,B-Class Electric,bev,242,2015,6,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,23,2015,6,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,2074,2015,6,hybridcars.com
Porsche Cayenne S-E,Porsche,Cayenne S-E,phev,89,2015,6,hybridcars.com
Porsche Panamera S-E,Porsche,Panamera S-E,phev,34,2015,6,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,94,2015,6,hybridcars.com
Tesla Model S,Tesla,Model S,bev,2800,2015,6,hybridcars.com
Toyota Prius,Toyota,Prius,phev,464,2015,6,hybridcars.com
Volkswagen e-Golf,Volkswagen,e-Golf,bev,293,2015,6,hybridcars.com
BMW i3,BMW,i3,bev,935,2015,7,hybridcars.com
BMW i8,BMW,i8,phev,217,2015,7,hybridcars.com
Cadillac ELR,Cadillac,ELR,phev,66,2015,7,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,57,2015,7,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1313,2015,7,hybridcars.com
Fiat 500e,Fiat,500e,bev,353,2015,7,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,693,2015,7,hybridcars.com
Ford Focus,Ford,Focus,bev,135,2015,7,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,852,2015,7,hybridcars.com
Honda Accord Plug In,Honda,Accord Plug In,phev,1,2015,7,hybridcars.com
Kia Soul,Kia,Soul,bev,59,2015,7,hybridcars.com
Mercedes B-Class Electric,Mercedes,B-Class Electric,bev,196,2015,7,hybridcars.com
Mercedes S550 Plug In,Mercedes,S550 Plug In,phev,10,2015,7,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,12,2015,7,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,1174,2015,7,hybridcars.com
Porsche Cayenne S-E,Porsche,Cayenne S-E,phev,77,2015,7,hybridcars.com
Porsche Panamera S-E,Porsche,Panamera S-E,phev,23,2015,7,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,109,2015,7,hybridcars.com
Tesla Model S,Tesla,Model S,bev,1800,2015,7,hybridcars.com
Toyota Prius,Toyota,Prius,phev,584,2015,7,hybridcars.com
Volkswagen e-Golf,Volkswagen,e-Golf,bev,313,2015,7,hybridcars.com
BMW i3,BMW,i3,bev,792,2015,8,hybridcars.com
BMW i8,BMW,i8,phev,210,2015,8,hybridcars.com
Cadillac ELR,Cadillac,ELR,phev,45,2015,8,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,135,2015,8,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1380,2015,8,hybridcars.com
Fiat 500e,Fiat,500e,bev,370,2015,8,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,723,2015,8,hybridcars.com
Ford Focus,Ford,Focus,bev,176,2015,8,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,949,2015,8,hybridcars.com
Honda Accord Plug In,Honda,Accord Plug In,phev,2,2015,8,hybridcars.com
Kia Soul,Kia,Soul,bev,93,2015,8,hybridcars.com
Mercedes B-Class Electric,Mercedes,B-Class Electric,bev,172,2015,8,hybridcars.com
Mercedes S550 Plug In,Mercedes,S550 Plug In,phev,10,2015,8,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,6,2015,8,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,1393,2015,8,hybridcars.com
Porsche Cayenne S-E,Porsche,Cayenne S-E,phev,83,2015,8,hybridcars.com
Porsche Panamera S-E,Porsche,Panamera S-E,phev,36,2015,8,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,106,2015,8,hybridcars.com
Tesla Model S,Tesla,Model S,bev,1600,2015,8,hybridcars.com
Toyota Prius,Toyota,Prius,phev,344,2015,8,hybridcars.com
Volkswagen e-Golf,Volkswagen,e-Golf,bev,381,2015,8,hybridcars.com
Volvo XC90 Plug In,Volvo,XC90 Plug In,phev,4,2015,8,hybridcars.com
BMW i3,BMW,i3,bev,1710,2015,9,hybridcars.com
BMW i8,BMW,i8,phev,182,2015,9,hybridcars.com
Cadillac ELR,Cadillac,ELR,phev,36,2015,9,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,157,2015,9,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,949,2015,9,hybridcars.com
Fiat 500e,Fiat,500e,bev,347,2015,9,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,719,2015,9,hybridcars.com
Ford Focus,Ford,Focus,bev,145,2015,9,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,808,2015,9,hybridcars.com
Kia Soul,Kia,Soul,bev,105,2015,9,hybridcars.com
Mercedes B-Class Electric,Mercedes,B-Class Electric,bev,147,2015,9,hybridcars.com
Mercedes S550 Plug In,Mercedes,S550 Plug In,phev,17,2015,9,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,3,2015,9,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,1247,2015,9,hybridcars.com
Porsche Cayenne S-E,Porsche,Cayenne S-E,phev,70,2015,9,hybridcars.com
Porsche Panamera S-E,Porsche,Panamera S-E,phev,41,2015,9,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,94,2015,9,hybridcars.com
Tesla Model S,Tesla,Model S,bev,2400,2015,9,hybridcars.com
Tesla Model X,Tesla,Model X,bev,6,2015,9,hybridcars.com
Toyota Prius,Toyota,Prius,phev,216,2015,9,hybridcars.com
Volkswagen e-Golf,Volkswagen,e-Golf,bev,343,2015,9,hybridcars.com
BMW i3,BMW,i3,bev,986,2015,10,hybridcars.com
BMW i8,BMW,i8,phev,149,2015,10,hybridcars.com
Cadillac ELR,Cadillac,ELR,phev,82,2015,10,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,177,2015,10,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,2035,2015,10,hybridcars.com
Fiat 500e,Fiat,500e,bev,231,2015,10,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,695,2015,10,hybridcars.com
Ford Focus,Ford,Focus,bev,126,2015,10,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,849,2015,10,hybridcars.com
Honda Fit,Honda,Fit,bev,1,2015,10,hybridcars.com
Kia Soul,Kia,Soul,bev,109,2015,10,hybridcars.com
Mercedes B-Class Electric,Mercedes,B-Class Electric,bev,81,2015,10,hybridcars.com
Mercedes S550 Plug In,Mercedes,S550 Plug In,phev,25,2015,10,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,9,2015,10,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,1238,2015,10,hybridcars.com
Porsche Cayenne S-E,Porsche,Cayenne S-E,phev,126,2015,10,hybridcars.com
Porsche Panamera S-E,Porsche,Panamera S-E,phev,28,2015,10,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,75,2015,10,hybridcars.com
Tesla Model S,Tesla,Model S,bev,2100,2015,10,hybridcars.com
Tesla Model X,Tesla,Model X,bev,10,2015,10,hybridcars.com
Toyota Prius,Toyota,Prius,phev,91,2015,10,hybridcars.com
Toyota RAV4,Toyota,RAV4,bev,1,2015,10,hybridcars.com
Volkswagen e-Golf,Volkswagen,e-Golf,bev,596,2015,10,hybridcars.com
Volvo XC90 Plug In,Volvo,XC90 Plug In,phev,1,2015,10,hybridcars.com
BMW i3,BMW,i3,bev,723,2015,11,hybridcars.com
BMW i8,BMW,i8,phev,118,2015,11,hybridcars.com
BMW X5,BMW,X5,phev,167,2015,11,hybridcars.com
Cadillac ELR,Cadillac,ELR,phev,67,2015,11,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,166,2015,11,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1980,2015,11,hybridcars.com
Fiat 500e,Fiat,500e,bev,174,2015,11,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,639,2015,11,hybridcars.com
Ford Focus,Ford,Focus,bev,93,2015,11,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,944,2015,11,hybridcars.com
Kia Soul,Kia,Soul,bev,83,2015,11,hybridcars.com
Mercedes B-Class Electric,Mercedes,B-Class Electric,bev,41,2015,11,hybridcars.com
Mercedes S550 Plug In,Mercedes,S550 Plug In,phev,21,2015,11,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,4,2015,11,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,1054,2015,11,hybridcars.com
Porsche Cayenne S-E,Porsche,Cayenne S-E,phev,121,2015,11,hybridcars.com
Porsche Panamera S-E,Porsche,Panamera S-E,phev,33,2015,11,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,178,2015,11,hybridcars.com
Tesla Model S,Tesla,Model S,bev,3100,2015,11,hybridcars.com
Tesla Model X,Tesla,Model X,bev,15,2015,11,hybridcars.com
Toyota Prius,Toyota,Prius,phev,44,2015,11,hybridcars.com
Volkswagen e-Golf,Volkswagen,e-Golf,bev,472,2015,11,hybridcars.com
Volvo XC90 Plug In,Volvo,XC90 Plug In,phev,7,2015,11,hybridcars.com
Audi A3 Plug In,Audi,A3 Plug In,phev,49,2015,12,hybridcars.com
BMW i3,BMW,i3,bev,1422,2015,12,hybridcars.com
BMW i8,BMW,i8,phev,656,2015,12,hybridcars.com
