vehicle,brand,model,category,sales,year,month,source
Smart Fortwo,Smart,Fortwo,bev,6,2012,7,hybridcars.com
BMW Active E,BMW,Active E,bev,0,2012,8,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,2831,2012,8,hybridcars.com
Ford Focus,Ford,Focus,bev,34,2012,8,hybridcars.com
Honda Fit,Honda,Fit,bev,9,2012,8,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,37,2012,8,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,685,2012,8,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,1,2012,8,hybridcars.com
Tesla Model S,Tesla,Model S,bev,71,2012,8,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,2851,2012,9,hybridcars.com
Ford Focus,Ford,Focus,bev,59,2012,9,hybridcars.com
Honda Fit,Honda,Fit,bev,16,2012,9,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,36,2012,9,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,984,2012,9,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,0,2012,9,hybridcars.com
Tesla Model S,Tesla,Model S,bev,150,2012,9,hybridcars.com
Toyota RAV4,Toyota,RAV4,bev,61,2012,9,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,2961,2012,10,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,144,2012,10,hybridcars.com
Ford Focus,Ford,Focus,bev,118,2012,10,hybridcars.com
Honda Fit,Honda,Fit,bev,16,2012,10,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,30,2012,10,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,1579,2012,10,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,0,2012,10,hybridcars.com
Tesla Model S,Tesla,Model S,bev,450,2012,10,hybridcars.com
Toyota RAV4,Toyota,RAV4,bev,47,2012,10,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1519,2012,11,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,1259,2012,11,hybridcars.com
Ford Focus,Ford,Focus,bev,172,2012,11,hybridcars.com
