age_months,powertrain,vehicle_type,rr25,rr50,rr75
12,conventional,car,0.6284513311321528,0.7028788980541614,0.797005326582075
12,hybrid,car,0.5692089689088939,0.6664999583229141,0.792098715279541
12,phev,car,0.670217114607648,0.7486933182652917,0.8435302777914648
12,bev,car,0.5874703569039001,0.773853595614318,0.9141030042152265
13,conventional,car,0.6235761697943129,0.6991719591607042,0.793854072637179
13,hybrid,car,0.5666416604151038,0.6773052551937202,0.812725333874981
13,phev,car,0.6965593609913774,0.7628196072891651,0.8704656886591171
13,bev,car,0.5863729809104258,0.7981683327958724,0.9374319666182874
14,conventional,car,0.6160022044713949,0.6880055753416516,0.7773918183467788
14,hybrid,car,0.5533566896654558,0.6656404709406332,0.793993111818669
14,phev,car,0.6776168950416726,0.7509277130807849,0.8374273698437061
14,bev,car,0.5776623060126336,0.7596524118362383,0.9328330900750625
15,conventional,car,0.6143364456148751,0.6859244577826897,0.7743796007379999
15,hybrid,car,0.5425356339084771,0.6655239838582185,0.7883918175169211
15,phev,car,0.6724113575363752,0.7626783443989265,0.856240889690798
15,bev,car,0.5536765866708189,0.7573267126064045,0.9037115384615385
16,conventional,car,0.6075864256758853,0.6829108748977923,0.7706982206642696
16,hybrid,car,0.5491533885260224,0.6556558638765237,0.7831775700934579
16,phev,car,0.6718531479444968,0.7627913547111174,0.8700585937499999
16,bev,car,0.5896439732916658,0.7543050139936118,0.9038221153846154
17,conventional,car,0.6001048237863476,0.6757947434292866,0.7661453152637253
17,hybrid,car,0.5464037122969838,0.6472969837587007,0.7701104100946372
17,phev,car,0.6553891792626076,0.734595281819466,0.8275280898876405
17,bev,car,0.56763,0.7083502229428456,0.8626943005181347
18,conventional,car,0.5900224089762309,0.6655407857626346,0.7544934055822513
18,hybrid,car,0.5333666750020839,0.6320139292873079,0.7562182781122915
18,phev,car,0.6637943212318124,0.7486933182652917,0.8557752808988763
18,bev,car,0.5672693574958813,0.6989319061028976,0.823076923076923
19,conventional,car,0.5861389766845312,0.661859863190978,0.751128146209908
19,hybrid,car,0.5332999916645829,0.633503949042177,0.7567567567567568
19,phev,car,0.6497810425201299,0.7345105240853228,0.8384494382022472
19,bev,car,0.5629324546952224,0.7165689467969598,0.8519230769230769
20,conventional,car,0.5870586508111283,0.6649034549086336,0.7572423888567168
20,hybrid,car,0.5567399006074025,0.6665131394226551,0.7892181930380264
20,phev,car,0.6355841220511371,0.7624805763525921,0.8716330256821829
20,bev,car,0.5339999999999999,0.6598499999999999,0.8153756852628185
21,conventional,car,0.5769875256004469,0.6545535109729945,0.7476208411801633
21,hybrid,car,0.5605786360126108,0.6612417526109128,0.7748290835112444
21,phev,car,0.6483684136177427,0.7313744879220229,0.8468973214285714
21,bev,car,0.4978183691413865,0.6072116674869396,0.8038461538461539
22,conventional,car,0.567816407860382,0.6448269939118652,0.7376789949925326
22,hybrid,car,0.5508043677586063,0.6518012422360249,0.759155733029093
22,phev,car,0.6273192859233245,0.7062861986156237,0.8183506469714246
22,bev,car,0.42111830304920844,0.5634118616144974,0.7691474866876242
23,conventional,car,0.5550061677631579,0.6303970960978815,0.7241004588263704
23,hybrid,car,0.5491533885260224,0.6433566433566433,0.7488466088328075
23,phev,car,0.6159062014408815,0.7057211470546687,0.8088202247191011
23,bev,car,0.40670669890041333,0.5569955817378498,0.7365366010964205
24,conventional,car,0.5494938390362328,0.6245710363761153,0.7138355173245438
24,hybrid,car,0.5340257492127025,0.6415322393194179,0.7429195430165101
24,phev,car,0.5991062455684815,0.677793473654471,0.7918479804961978
24,bev,car,0.3415737346954691,0.46691101926226314,0.6551179245283019
25,conventional,car,0.5537749616365708,0.631397645633472,0.7229884190997653
25,hybrid,car,0.5571444040232061,0.6521273291925466,0.7442069862885551
25,phev,car,0.5557993271902881,0.6321262977629212,0.734783463086971
25,bev,car,0.3119394837401544,0.43707638861810805,0.6365448113207547
26,conventional,car,0.553242060691602,0.6301760889712696,0.7199210275752995
26,hybrid,car,0.5474525088428748,0.6454186293876311,0.7370963353162271
26,phev,car,0.5367989829071903,0.6038490445071515,0.7075655119440634
26,bev,car,0.3125040782232704,0.4406384375922101,0.6209775900618284
27,conventional,car,0.5629454033632121,0.64094341970499,0.729308879332454
27,hybrid,car,0.5568973525313516,0.6496980956804459,0.7411982705373688
27,phev,car,0.5161708302028531,0.5901398502613363,0.7052973583839526
27,bev,car,0.3551355434008926,0.47844264242065837,0.6604368970997844
28,conventional,car,0.5697625830959164,0.6455460588793922,0.7329086659639796
28,hybrid,car,0.5648866647041507,0.656877147630907,0.7430562006502555
28,phev,car,0.508030795310072,0.5635055125379028,0.6497527899420822
28,bev,car,0.3983475951608144,0.49199999999999994,0.6303969974979149
29,conventional,car,0.5717400199579354,0.6459202430153954,0.732627042557012
29,hybrid,car,0.5697411244042545,0.6657671574036127,0.7451170046801872
29,phev,car,0.4936290436502331,0.5390026839949146,0.6392559060687508
29,bev,car,0.4054277470170787,0.49984375,0.6207480818296722
30,conventional,car,0.5698002242574711,0.645143116881454,0.7319895287958115
30,hybrid,car,0.5655489916723162,0.6620220043504302,0.7418391090421399
30,phev,car,0.49159485803079533,0.5400936494000586,0.6213589490040967
30,bev,car,0.41162584833284155,0.5159238955175749,0.6192444650874749
31,conventional,car,0.5691094828978104,0.6446982342089079,0.7306983411836986
31,hybrid,car,0.5671069638409886,0.6620220043504302,0.7409851760345892
31,phev,car,0.4974100087796312,0.5516825001410649,0.6188162169797995
31,bev,car,0.41295367365004426,0.5108933884897308,0.6118284424379232
32,conventional,car,0.5725532295580604,0.64746229351209,0.7321633590290306
32,hybrid,car,0.577918709179698,0.6655212635162826,0.7452856803713143
32,phev,car,0.4964825540330555,0.5408219979523182,0.6215002118943354
