year,state,price_raw,price
2021,CT,21.909424,20.352326906925956
2021,ME,17.019578,15.810000996554042
2021,MA,22.890045,21.263255426260677
2021,NH,19.852386,18.44148206518255
2021,RI,22.301537,20.7165725375028
2021,VT,19.256662,17.888096015677025
2021,NJ,16.354335,15.19203664438558
2021,NY,19.483058,18.09840211055293
2021,PA,13.759208,12.781344648603763
2021,IL,13.175339,12.238971067316553
2021,IN,13.373852,12.423375799785768
2021,MI,17.535869,16.289599328810688
2021,OH,12.7686,11.8611389027742
2021,WI,14.521578,13.489533210020674
2021,IA,12.726428,11.821964055899228
2021,KS,12.981723,12.059115306324783
2021,MN,13.500266,12.540805589524291
2021,MO,11.414988,10.603727757271797
2021,NE,10.750637,9.986592010894203
2021,ND,10.848349,10.077359644344064
2021,SD,12.222873,11.35419657941892
2021,DE,12.516016,11.626505982280309
2021,DC,13.087223,12.157117448630334
2021,FL,11.899303,11.053622615572401
2021,GA,12.506839,11.617981189295113
2021,MD,13.120915,12.188414966910512
2021,NC,11.322459,10.517774769353405
2021,SC,12.863953,11.949715189743504
2021,VA,11.964524,11.114208375982928
2021,WV,12.154947,11.291098062658284
2021,AL,12.95662,12.035796370037612
2021,KY,11.503176,10.685648258936652
2021,MS,11.555207,10.733981429233335
2021,TN,11.06806,10.281455840439753
2021,AR,11.268219,10.467389592114985
2021,LA,11.022176,10.238832804444037
2021,OK,11.001595,10.219714490787254
2021,TX,12.105293,11.244972959586816
2021,AZ,12.539348,11.648179783079106
2021,CO,13.072085,12.14305530237231
2021,ID,10.156486,9.434667168685802
2021,MT,11.222759,10.42516042254901
2021,NV,11.492056,10.675318554458569
2021,NM,13.516328,12.555726067341464
2021,UT,10.430705,9.689397495329274
2021,WY,11.171776,10.37780077116357
2021,CA,22.821717,21.199783479536
2021,OR,11.374529,10.566144167930183
2021,WA,10.109473,9.390995370427879
2021,AK,22.548257,20.94575821095897
2021,HI,33.493173,31.11282186360654
2020,CT,22.714656,22.091595060254356
2020,ME,16.811841,16.35069373665098
2020,MA,21.965699,21.36318188236855
2020,NH,19.037497,18.51530019582102
2020,RI,22.008732,21.40503449110838
2020,VT,19.535248,18.99939793134634
2020,NJ,16.028495,15.588834845894722
2020,NY,18.364581,17.860842220249385
2020,PA,13.582329,13.2097669558874
2020,IL,13.042875,12.685110129843702
2020,IN,12.826182,12.474360999044992
2020,MI,16.260424,15.814402054604805
2020,OH,12.287015,11.949983300617504
2020,WI,14.320461,13.927652062534653
2020,IA,12.459445,12.117683561464053
2020,KS,12.853285,12.500720566230076
2020,MN,13.168291,12.807085980416868
2020,MO,11.223233,10.915380743731435
2020,NE,10.79674,10.500586407773492
2020,ND,10.436302,10.150035189197787
2020,SD,11.745686,11.423502905652576
2020,DE,12.562897,12.218297882551436
2020,DC,12.633205,12.286677340532062
2020,FL,11.26899,10.959882633400028
2020,GA,12.01619,11.686587005635383
2020,MD,13.005317,12.648582342353853
2020,NC,11.379161,11.067031652930998
2020,SC,12.784295,12.433622955629813
2020,VA,12.026659,11.696768841921427
2020,WV,11.803965,11.480183318004697
2020,AL,12.574964,12.23003388584341
2020,KY,10.867223,10.569136065520098
2020,MS,11.172846,10.866375854540022
2020,TN,10.758827,10.463713357901224
2020,AR,10.408233,10.122736119304486
2020,LA,9.6679257,9.402735380937582
2020,OK,10.115675,9.838202958527678
2020,TX,11.713731,11.3924244283844
2020,AZ,12.274255,11.937573306252242
2020,CO,12.358534,12.019540540978719
2020,ID,9.9486966,9.675804760790976
2020,MT,11.242521,10.93413967565284
2020,NV,11.342268,11.031150624551879
2020,NM,12.936179,12.581340791380073
2020,UT,10.43618,10.149916535646646
2020,WY,11.110845,10.806075536308002
2020,CA,20.449153,19.888234600655434
2020,OR,11.167035,10.860724249739354
2020,WA,9.8736351,9.602802190881254
2020,AK,22.571375,21.952244244999733
2020,HI,30.282091,29.451456009273173
2019,CT,21.872865,21.535313415368027
2019,ME,17.889094,17.61302170552324
2019,MA,21.916643,21.57841581419406
2019,NH,20.048992,19.73958721832765
2019,RI,21.732786,21.3973961755409
2019,VT,17.713794,17.440427011517038
2019,NJ,15.84959,15.604992220044466
2019,NY,17.940286,17.66342368827034
2019,PA,13.803577,13.590554184290239
2019,IL,13.027254,12.826211739139191
2019,IN,12.580497,12.386349287854937
2019,MI,15.742662,15.499714379538501
2019,OH,12.377822,12.186802056778456
2019,WI,14.17565,13.95688519160895
2019,IA,12.458928,12.26665639364136
2019,KS,12.71209,12.515911487332168
2019,MN,13.041123,12.839866706687236
2019,MO,11.138814,10.966914968180399
2019,NE,10.765083,10.598951547840224
2019,ND,10.300987,10.142017679560112
2019,SD,11.55354,11.375240735815408
2019,DE,12.549304,12.3556376718245
2019,DC,12.98378,12.783408648852678
2019,FL,11.701973,11.521383053073954
2019,GA,11.762977,11.581445612761087
2019,MD,13.116027,12.913614755516905
2019,NC,11.418042,11.241833799999934
2019,SC,12.991338,12.790850010502988
2019,VA,12.068843,11.882591355356075
2019,WV,11.248414,11.074823573217936
2019,AL,12.528461,12.33511633008365
2019,KY,10.797135,10.630508907408318
2019,MS,11.266249,11.09238333572564
2019,TN,10.872716,10.704923508478958
2019,AR,9.7951545,9.643991407136308
2019,LA,9.7950437,9.643882317050194
2019,OK,10.206442,10.048931739201775
2019,TX,11.761534,11.58002488176593
2019,AZ,12.433908,12.242022513184798
2019,CO,12.175196,11.987303069512619
2019,ID,9.889192,9.736577679455808
2019,MT,11.132847,10.961040053524751
2019,NV,12.004865,11.81960069173298
2019,NM,12.510457,12.317390175657593
